Word,Tone,Alt word,Context ,Definition,Reason
Lame,Negative,"""Dull""  ""Uncool""  ""Boring""  ""Person with a disability""",Ableism,"A person with a disability or impaired in any way; weak, infirm; paralyzed; unable to move. Has a disability in the foot or leg, so as to walk haltingly or be unable to walk. Can also mean boring, uncool or stupid.","People who would never use the word retarded to mean stupid seem to find the word lame an acceptable substitute, but it has the same harmful connotations attached. Using any adjective that focuses on a person’s challenges highlights those challenges instead of that individual’s complete, complex and multi faceted personhood."
Leb,Negative,Derogatory Term,LGBTQ+,A derogatory term for lesbians.,The term is derogatory and offensive.
Left footer,Negative,Derogatory Term,Religion,An informal phrase for a Roman Catholic particularly amongst the armed forces in the UK.,The term is derogatory and offensive.
Les,Negative,Derogatory Term,LGBTQ+,A derogatory term for lesbians.,The term is derogatory and offensive.
Lesbo,Negative,Derogatory Term,LGBTQ+,A derogatory term for lesbians.,The term is derogatory and offensive.
Leso,Negative,Derogatory Term,LGBTQ+,A derogatory term for lesbians.,The term is derogatory and offensive.
Lezzie ,Negative,Derogatory Term,LGBTQ+,A derogatory term for lesbians.,The term is derogatory and offensive.
Mad,Negative,"""Ridiculous""  ""Wild""  ""Shocking""  ""Unbelievable""  ""Someone with mental health problems""",Mental Health,"Someone who is mentally ill, especially as manifested in wild or aggressive behaviour. Or extremely enthusiastic.","When using this word as an adjective, in the same way as crazy or insane, it can be hurtful to people who live with mental illness and can trivialise their experience. However, “Mad Pride” has been used to reclaim the language around mental health so there may be circumstances where it is appropriate to use this term."
Mailman,Negative,"""Mail""  ""Letter""  ""Postal worker""",Sex,A person who is employed to deliver and collect letters and parcels.,"Using ‘man’ in words makes them gender specific, thus excluding all non males."
Man hours,Negative,"""Work""  ""Staff hours""",Sex,An hour regarded in terms of the amount of work that can be done by one person within this period.,"When they read the words ‘man’ or ‘he,’ people of all ages tend to picture males.” It subtly suggests only males can perform certain work or hold certain jobs."
Man made,Negative,"""Machine""  ""Synthetic""  ""Artificial""",Sex,Made or caused by human beings (as opposed to occurring or being made naturally.,"Using ‘man’ in words makes them gender specific, thus excluding all non males."
Man up,Negative,"""Be""  ""Grow up""",Sex,Be brave or tough enough to deal with a difficult or unpleasant situation.,It implies that one can be more or less of a ‘man’ based on behaviour. The phrase implies also that being strong or to show less emotion is gender specific.
Mankind,Negative,"""People""  ""Human""  ""Humanity""  ""human race""",Sex,Human beings considered collectively; the human race.,"""Mankind"" sounds gender specific and means ""a bunch of men without women.”"
Manpower,Negative,"""Power""  ""Amount of people""",Sex,The number of people working or available for work or service.,"Using ‘man’ in words makes them gender specific, thus excluding all non males."
Master bedroom,Negative,"""primary""  ""owner s suite""",Race,The main or largest bedroom in a house or flat.,"""Master bedroom"" is a https://www.chron.com/business/real"" implying a concept of dominance and ownership with which a modern day room need not be imbued."
Mastered ,Negative,"""Become""  ""proficient""","Race,Sex",To have become proficient or expert in something.,"Not to mention its slave/master connotations, master is a very masculine word so it’s not very inclusive."
Mastering,Negative,"""Becoming""  ""Becoming proficient""","Race,Sex",To be on the way of being proficient or expert in something.,"Not to mention its slave/master connotations, master is a very masculine word so it’s not very inclusive."
Mental,Context,"""Ridiculous""  ""Unbelievable""  ""Wild""  ""Shocking""  ""Someone with mental health problems""",Mental Health,"Someone who is mentally ill, especially as manifested in wild or aggressive behaviour. Or extremely enthusiastic.","When using this word as an adjective, in the same way as crazy or insane, it can be hurtful to people who live with mental illness and can trivialise their experience."
Mick,Negative,"""Catholic""  ""Irish Catholic""",Religion,"A derogatory term for a Catholic, usually Irish (a reference to the common ""Mc'"" patronymic of Irish surnames, or a hypocorism of Michael).",Depending on the context the term can be considered inappropriate and very offensive.
Minority,Negative,"""Underrepresented""  ""Be specific about who you re talking about""","Race,Culture","The smaller number or part, especially a number or part representing less than half of the whole","Simply seeing the word minority
 in your mind’s eye is enough to minimize the individual and/or community it describes. In defining groups by their “smallness,” it not only diminishes them, it erases solidarity between them."
Misogynist   ,Neutral,,Sex,"Noun: a person who dislikes, despises, or is strongly prejudiced against women. Adjective: relating to or characteristic of a misogynist.",
Misogyny ,Neutral,,Sex,"Dislike of, contempt for, or ingrained prejudice against women.",
Mumbo jumbo,Negative,"""Nonsense""  ""Gibberish""  ""Rigmarole""  ""Jargon""  ""Gobbledygook""","Race,Culture",Language or ritual causing or intended to cause confusion or bewilderment. Or unnecessarily involved and incomprehensible language.,"The Mandinka word ""Maamajomboo,""
which referred to a masked male dancer who took part in religious ceremonies is often cited as the source of 'mumbo jumbo' in English. The 1896 edition of Farmer and Henley's ""Slang and its Analogues"" described mumbo jumbo as a ""grotesque bogy or idol supposedly worshipped in Africa.” Therefore the use of this word harkens to a discriminatory past."
Neger ,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Negro ,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Nig ,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Nigar,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Niger ,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Nigette ,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Nigga,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Niggar ,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Nigger ,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Niggress,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Nigguh,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Niggur,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Nigor ,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Nigra ,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Nigre,Negative,Derogatory Term,Race,A derogatory term for a black person or black people.,The term is derogatory and very offensive.
Nip,Negative,Derogatory Term,"Race,Culture","An ethnic slur against people of Japanese descent and origin. The word Nip is an abbreviation from Nippon, the Japanese name  for Japan.",The term is derogatory and very offensive.
Nitty gritty,Negative,"""The""  ""The""  ""Things you need to know""",Race,The most important aspects or practical details of a subject or situation.,"This phrase is thought to have been used widely during the slave trade to describe the remnants left behind on the boats where slaves were kept and shipped in abhorrent conditions. ‘Nitty’ refers to the insects found in many people’s hair and ‘gritty’ refers to the low quality food grain used to feed enslaved people. It is also a colloquialism that won’t be understood by many, so should be avoided."
Northern Monkey,Negative,"""A person from the north""",Culture,"Used in the south of England, relating to the supposed stupidity and lack of sophistication of those in the north of the country",The term is inappropriate and offensive.
OCD,Context,,Mental Health,"Having a tendency towards excessive orderliness, perfectionism, and great attention to detail.",OCD is a serious disorder and when it’s used as an adjective or to refer to someone/behaviour that isn’t really OCD it can diminish the struggles of those who actually have the disorder.
Old,Negative,"""Older""  ""Older""  ""Older people""",Age,Having lived for a long time; no longer young.,"In a survey of adults over 65 uncovering which terms older people found the most offensive, over half took offense to the word old."
Old geezer,Negative,"""Older""  ""Older""  ""Older people""","Age,Sex","A geezer is slang for a man. USA definition:  Elderly, cranky old man.","In a survey of adults over 65 uncovering which terms older people found the most offensive, geezer was amongst one of the most unfavoured words."
Old timer,Negative,"""Older""  ""Older""  ""Older people""",Age,"An old man, or someone who has been or worked in a place for a long time.","In a survey of adults over 65 uncovering which terms older people found the most offensive, old timer was amongst one of the most unfavoured words."
Older adult,Context,"""Elderly""  ""Old""  ""Geriatric""  ""Old""  ""Cougar""  ""Old""  ""Senior""  ""Aged""",Age,,
Older people,Context,"""Elderly""  ""Old""  ""Geriatric""  ""Old""  ""Cougar""  ""Old""  ""Senior""  ""Aged""",Age,,
Oreo,Context,,Race,"Used as early as the 1960s. Refers to a black person who is perceived as acting white, and therefore black on the outside and white on the inside like an Oreo cookie.",Depending on the context the term can be considered inappropriate and very offensive.
Pak,Negative,Derogatory Term,Race,"A derogatory slur for a person from Pakistan or South Asia by birth or descent, especially one living in Britain.",The term is derogatory and very offensive.
Paki ,Negative,Derogatory Term,Race,"A derogatory slur for a person from Pakistan or South Asia by birth or descent, especially one living in Britain.",The term is derogatory and very offensive.
Pakkis ,Negative,Derogatory Term,Race,"A derogatory slur for a person from Pakistan or South Asia by birth or descent, especially one living in Britain.",The term is derogatory and very offensive.
Pancake face,Negative,Derogatory Term,Race,A derogatory term for a Chinese person.,The term is derogatory and very offensive.
Paptist,Negative,Derogatory Term,Religion,A derogatory term usually referring to an Irish Catholic.,The term is derogatory and offensive.
Peanut gallery,Negative,"""The""  ""Seats at the back""",Race,The top gallery in a theatre where the cheaper seats are located.,Peanut gallery was in use in the 1880s as a synonym for n      gallery (1840s) or n      heaven (1870s); the upper balcony where black people would sit in segregated theatres.
People of colour,Negative,"""Use a specific race""",Race,Coloured is a racial descriptor historically used in the United States (during the Jim Crow Era) to refer to an African American.,"The term ‘coloured’ has a horrible history. It was used in the USA during the heights of segregation
when there were often ‘no coloured’ signs or ‘coloured only’ drinking fountains, for example. It was used in South Africa during apartheid. It was also used in Britain during the 50s and 60s again in
a very negative racist way. What’s more, it suggests that only Black or Asian people have a colour and overlooks the rich diversity
of so much of our Society."
Piker,Negative,Derogatory Term,"Race,Culture","Derived from ""turnpike"".  Referring to Irish travellers, Romani people or itinerant or vagrant lower class or poor people. ",The term is derogatory and very offensive.
Pikey ,Negative,Derogatory Term,"Race,Culture","Derived from ""turnpike"".  Referring to Irish travellers, Romani people or itinerant or vagrant lower class or poor people. ",The term is derogatory and very offensive.
Piky,Negative,Derogatory Term,"Race,Culture","Derived from ""turnpike"".  Referring to Irish travellers, Romani people or itinerant or vagrant lower class or poor people. ",The term is derogatory and very offensive.
Plastic Paddy,Negative,Derogatory Term,Culture,"A person who, although not born in Ireland, is of Irish descent and places great importance on Irishness. Can refer to foreign nationals who claim Irishness based solely on having Irish relatives",The term is derogatory and very offensive.
Policeman,Negative,"""Police officer""",Sex,,
Postman ,Negative,"""Mail""  ""Postal""  ""Letter carrier""",Sex,A person who is employed to deliver and collect letters and parcels.,"Using ‘man’ in words makes them gender specific, thus excluding all non males."
Pow wow,Negative,"""Meeting""  ""Discussion""",Culture,"A Native American ceremony involving feasting, singing and dancing. Informally known as (as a noun) a conference or meeting for discussion, especially among friends or colleagues or (as a verb) meet or confer.   ",https://www.ictinc.ca/blog/culturally offensive phrases you should use at
Prod,Negative,Derogatory Term,Religion,"Particularly used by bullies to disparage a child who attends a Protestant school. ""Proddywhoddy"" and ""proddywoddy"" are used in children's school rhymes in Cork. ",The term is derogatory and offensive.
Proddywhoddy,Negative,Derogatory Term,Religion,"Particularly used by bullies to disparage a child who attends a Protestant school. ""Proddywhoddy"" and ""proddywoddy"" are used in children's school rhymes in Cork. ",The term is derogatory and offensive.
Proddywoddy,Negative,Derogatory Term,Religion,"Particularly used by bullies to disparage a child who attends a Protestant school. ""Proddywhoddy"" and ""proddywoddy"" are used in children's school rhymes in Cork. ",The term is derogatory and offensive.
Prostitute,Negative,"""Sex""  ""Sex work""",Sex,"A person, in particular a woman, who engages in sexual activity for payment. Or as a verb to offer (someone) for sexual activity in exchange for payment.",Prostitute first comes up in English in 1530 as a verb meaning to sexually dishonour yourself and so prostitute is generally considered to refer to a woman and to a state of female sexual dishonour. 
Prostitution ,Context,"""Sex work""",Sex,,
Pussy puncher,Negative,Derogatory Term,LGBTQ+,"A derogatory term for lesbians, with both ""kitty"" and ""pussy"" referring to a woman's vagina, and ""puncher"" as a variation on various derogatory terms for gay men, such ""donut puncher”.",The term is derogatory and offensive.
Queer,Context,,LGBTQ+,"Umbrella term for sexual and gender minorities who are not heterosexual or are not cisgender, sometimes considered a slur.",Depending on the context used it can be used as an insult and thus can be offensive. 
Queer ,Context,"""Bent""  ""Bentshot""  ""Bender""",LGBTQ+,Umbrella term for sexual and gender minorities who are not heterosexual or are not cisgender. Sometimes considered a slur.,Depending on the context used it can be used as an insult and thus can be offensive. 
Race,Neutral,,Race,"Tends to refer to physical or biological traits like skin colour – often, things you were born with.",N/A
Racism ,Neutral,,Race,"Prejudice, discrimination, or antagonism by an individual, community, or institution against a person or people on the basis of their membership of a particular racial or ethnic group, typically one that is marginalized. The belief that different races possess distinct characteristics, abilities, or qualities, especially so as to distinguish them as inferior or superior to one another.",
Racist,Neutral,,Race,"Noun: A person who is prejudiced against or antagonistic towards people on the basis of their membership of a particular racial or ethnic group, typically one that is marginalized. Adjective: Prejudiced against or antagonistic towards a person or people on the basis of their membership of a particular racial or ethnic group, typically one that is marginalized. ",
Raghead,Negative,Derogatory Term,"Race,Culture,Religion",Derived from those people wearing traditional headdress such as turbans or keffiyehs. Sometimes used generically for all Islamic nations.,The term is derogatory and very offensive.
Retard,Negative,Derogatory Term,Ableism,"A pejorative term either for someone with a mental disability or for someone who is stupid, slow to understand, or ineffective in some way.",It’s hurtful and derogatory. These words suggest people with a disability are stupid or flawed.
Retarded,Negative,Derogatory Term,Ableism,"The adjective retarded used for something very foolish or stupid. Derived from retard which is a term for someone with a mental disability or for someone who is stupid, slow to understand, or ineffective in some way.",It’s hurtful and derogatory. These words suggest people with a disability are stupid or flawed.
Rice bag,Negative,Derogatory Term,Religion,"Someone who has formally declared themself a Christian for material benefits rather than for religious reasons. In India, the term was extended to refer to any Christian convert.",The term is derogatory and very offensive.
Rice Christian ,Negative,Derogatory Term,Religion,"Someone who has formally declared themself a Christian for material benefits rather than for religious reasons. In India, the term was extended to refer to any Christian convert.",The term is derogatory and very offensive.
Rug muncher,Negative,Derogatory Term,LGBTQ+,A derogatory term for lesbians.,The term is derogatory and offensive.
Run amok,Negative,"""Behaving""  ""Disrupting""  ""Behaving badly""","Culture,Mental Health",Behave uncontrollably and disruptively.,"“Amok, or running amok, is derived from the Malay word mengamok, which means to make a furious and desperate charge. According to Malay mythology, running amok was an involuntary behavior caused by the “hantu belian,” or evil tiger spirit entering a person's body and compelling him or her to behave violently without conscious awareness.” Since Captain Cook first observed this word in 1770, the word has had new psychiatric meanings applied: “Today, amok should be viewed as one possible outcome of an individual's undiagnosed and/or untreated psychiatric condition with psychosis or severe personality pathology.” Therefore, the word could be seen as both cultural appropriation and trivialising mental illness."
Running amok,Negative,"""Behaving""  ""Disrupting""  ""Behaving badly""","Culture,Mental Health",Behave uncontrollably and disruptively.,"“Amok, or running amok, is derived from the Malay word mengamok, which means to make a furious and desperate charge. According to Malay mythology, running amok was an involuntary behavior caused by the “hantu belian,” or evil tiger spirit entering a person's body and compelling him or her to behave violently without conscious awareness.” Since Captain Cook first observed this word in 1770, the word has had new psychiatric meanings applied: “Today, amok should be viewed as one possible outcome of an individual's undiagnosed and/or untreated psychiatric condition with psychosis or severe personality pathology.” Therefore, the word could be seen as both cultural appropriation and trivialising mental illness."
Scrounger,Negative,"""A""  ""Someone""  ""Someone that receives financial aid""",Class,A person who borrows from or lives off others.,There is a stigma against those who  don’t work or those who need extra help. especially those that are benefits recipients. Such a narrative is having a direct impact upon the lives of people on benefits. Recent evidence shows how hundreds of thousands of poor people are missing out on vital benefits they’re entitled to as a result of the perceived stigma generated by these false media depictions of “scroungers”.
Senior,Negative,"""Older""  ""Older""  ""Older people""",Age,"As an adjective, of or for older or more experienced people. As a noun, a person who is a specified number of years older than someone else.","Anti"" and falsely present older people as frail, immobile, and burdensome."
Sexism,Neutral,,Sex,"Prejudice, stereotyping, or discrimination, typically against women, on the basis of sex.",
Sexist,Neutral,,Sex,"Adjective: characterized by or showing prejudice, stereotyping, or discrimination, typically against women, on the basis of sex. Noun: a person with sexist views.",
Sexual preference,Negative,"""Sexual Orientation""",Sex,,
Sheepshagger,Negative,Derogatory Term,"Race,Culture","Derogatory term for New Zealanders or welsh people.
",The term is derogatory and very offensive.
Shemale,Negative,Derogatory Term,LGBTQ+,A transgender woman with male genitalia and possibly female secondary sex characteristics. Primarily a term used in pornography and often considered derogatory.,The term is derogatory and very offensive.
Shylock,Negative,Derogatory Term,Religion,"Referring to Jewish people as shrewd and money loving; derived from the character in Shakespeare's play ""Merchant of Venice"".",The term is derogatory and offensive.
Sirs and Madams,Negative,"""People""  ""Peeps""  ""Folks""  ""Everybody""",Sex,Used as a formal way of addressing men and women.,Not everyone identifies as either a Sir or a Madam so it can exclude and offend people.
Skank,Negative,,Sex,"Derogatory term for a (usually younger) female, implying promiscuity, ugliness or poor hygiene. ","Similarly to the word slut, the word is meant to shame and insult women in a sexist way."
Skanky,Negative,,Sex,(Especially of a person) dirty and unpleasant. Typically used towards women.,"Similarly to the word slut, the word is meant to shame and insult women in a sexist way."
Slope ,Negative,Derogatory Term,"Race,Culture",A derogatory term for Asian people (especially Vietnamese in Australia; especially Chinese in America),The term is derogatory and very offensive.
Slopehead ,Negative,Derogatory Term,"Race,Culture",A derogatory term for Asian people (especially Vietnamese in Australia; especially Chinese in America),The term is derogatory and very offensive.
Sloper,Negative,Derogatory Term,"Race,Culture",A derogatory term for Asian people (especially Vietnamese in Australia; especially Chinese in America),The term is derogatory and very offensive.
Slopey,Negative,Derogatory Term,"Race,Culture",A derogatory term for Asian people (especially Vietnamese in Australia; especially Chinese in America),The term is derogatory and very offensive.
Slopy ,Negative,Derogatory Term,"Race,Culture",A derogatory term for Asian people (especially Vietnamese in Australia; especially Chinese in America),The term is derogatory and very offensive.
Slut,Negative,,Sex,An offensive term for a woman who has many casual sexual partners.,‘Slut shaming’ can be very damaging and offensive to women. It s also a sexist term as there is no equivalent for men and therefore sets different standards in behaviour between them. 
Sold down the river,Negative,"""Betrayed""  ""Misled""",Race,,"This phrase comes from the slave trade when slaves were literally sold down rivers to plantation owners,
where they were treated in the most despicable ways. It’s also likely to be very confusing to those with English as a second language."
Southern Faerie,Negative,"""A person from the south""",Culture,"Used in the https://en.wikipedia.org/wiki/North_of_England
 to refer to someone from the South, alluding to their supposed mollycoddled ways.",The term is inappropriate and offensive.
Southern Fairy,Negative,"""A person from the south""",Culture,"Used in the https://en.wikipedia.org/wiki/North_of_England
 to refer to someone from the South, alluding to their supposed mollycoddled ways.",The term is inappropriate and offensive.
Spastic,Negative,Derogatory Term,Ableism,"An old"" incapable, or incompetent person.",It’s hurtful and derogatory. These words suggest people with a disability are stupid or flawed.
Spaz,Negative,Derogatory Term,Ableism,"Short for spastic. An old"" incapable, or incompetent person.",It’s hurtful and derogatory. These words suggest people with a disability are stupid or flawed.
Spearchucker,Negative,Derogatory Term,Race,A derogatory term for people of African descent. Derived from the idea that people of African descent were primitive.,The term is derogatory and very offensive.
Steward,Negative,"""Cabin""  ""Flight attendant""",Sex,"A man employed to look after the passengers on a ship, aircraft, or train.",This word presumes gender and is unnecessarily gender specific.
Stewardess,Negative,"""Flight""  ""Cabin attendant""",Sex,A woman employed to look after the passengers on a ship or aircraft.,"The term is outdated and refers to a time when flight attendants were predominantly women and “were there to be eye candy, flirt, and serve drinks.”"
Stewardesses,Negative,"""Flight""  ""Cabin attendants""",Sex,A woman employed to look after the passengers on a ship or aircraft.,"The term is outdated and refers to a time when flight attendants were predominantly women and “were there to be eye candy, flirt, and serve drinks.”"
T girl,Negative,"""Transgender woman""",LGBTQ+,"Short for trans girl, considered derogatory by some.",The term can be considered offensive.
Tenker ,Negative,Derogatory Term,"Race,Culture","An inconsequential person (typically lower"" the term ""Irish Tinker"" may be used).  Could be used as a slur against Romani people "" being also known in the past as ""travelling tinsmiths,"" possibly derived from a reputation for rowdy and alcoholic recreation.",The term is derogatory and very offensive.
The Asians,Negative,"""Asian people""",Race,Terms referring to Asian people collectively.,"People aren’t defined people by their race, ethnicity, gender, disability or sexuality. So, we don’t use colour or ethnicity as nouns to describe people. Not only does this lend itself to untrue stereotypes and segregation, it also has negative connotations and has fuelled racism throughout history."
The blacks,Negative,"""Black people""",Race,Terms referring to black people collectively.,"People aren’t defined people by their race, ethnicity, gender, disability or sexuality. So, we don’t use colour or ethnicity as nouns to describe people. Not only does this lend itself to untrue stereotypes and segregation, it also has negative connotations and has fuelled racism throughout history."
The common man,Negative,"""Average person""",Sex,The undistinguished commoner lacking class or rank distinction or special attributes,"Using ‘man’ in words makes them gender specific, thus excluding all non males."
The Indians,Negative,"""Indian people""",Race,Terms referring to Indian people collectively.,"People aren’t defined people by their race, ethnicity, gender, disability or sexuality. So, we don’t use colour or ethnicity as nouns to describe people. Not only does this lend itself to untrue stereotypes and segregation, it also has negative connotations and has fuelled racism throughout history."
Thick Lips,Negative,Derogatory Term,Race,A derogatory term for black people.,The term is derogatory and very offensive.
Tincker,Negative,Derogatory Term,"Race,Culture","An inconsequential person (typically lower"" the term ""Irish Tinker"" may be used).  Could be used as a slur against Romani people "" being also known in the past as ""travelling tinsmiths,"" possibly derived from a reputation for rowdy and alcoholic recreation.",The term is derogatory and very offensive.
Tinkar ,Negative,Derogatory Term,"Race,Culture","An inconsequential person (typically lower"" the term ""Irish Tinker"" may be used).  Could be used as a slur against Romani people "" being also known in the past as ""travelling tinsmiths,"" possibly derived from a reputation for rowdy and alcoholic recreation.",The term is derogatory and very offensive.
Tinkard,Negative,Derogatory Term,"Race,Culture","An inconsequential person (typically lower"" the term ""Irish Tinker"" may be used).  Could be used as a slur against Romani people "" being also known in the past as ""travelling tinsmiths,"" possibly derived from a reputation for rowdy and alcoholic recreation.",The term is derogatory and very offensive.
Tinker ,Negative,Derogatory Term,"Race,Culture","An inconsequential person (typically lower"" the term ""Irish Tinker"" may be used).  Could be used as a slur against Romani people "" being also known in the past as ""travelling tinsmiths,"" possibly derived from a reputation for rowdy and alcoholic recreation.",The term is derogatory and very offensive.
Tinkere ,Negative,Derogatory Term,"Race,Culture","An inconsequential person (typically lower"" the term ""Irish Tinker"" may be used).  Could be used as a slur against Romani people "" being also known in the past as ""travelling tinsmiths,"" possibly derived from a reputation for rowdy and alcoholic recreation.",The term is derogatory and very offensive.
Tramp,Negative,Derogatory Term,"Class,Sex",A person who travels from place to place on foot in search of work or as a vagrant or beggar. Or derogatory term for a female sex worker or a synonym for slut.,It's a derogatory term no matter how it is used and so can cause offence. 
Tranny,Negative,Derogatory Term,LGBTQ+,Slur used for transgender people.,The term is derogatory and very offensive.
Transphobia,Neutral,,LGBTQ+,Dislike of or prejudice against transsexual or transgender people.,
Transphobic ,Neutral,,LGBTQ+,Having or showing a dislike of or prejudice against transsexual or transgender people.,
Tyncar ,Negative,Derogatory Term,"Race,Culture","An inconsequential person (typically lower"" the term ""Irish Tinker"" may be used).  Could be used as a slur against Romani people "" being also known in the past as ""travelling tinsmiths,"" possibly derived from a reputation for rowdy and alcoholic recreation.",The term is derogatory and very offensive.
Tynekere,Negative,Derogatory Term,"Race,Culture","An inconsequential person (typically lower"" the term ""Irish Tinker"" may be used).  Could be used as a slur against Romani people "" being also known in the past as ""travelling tinsmiths,"" possibly derived from a reputation for rowdy and alcoholic recreation.",The term is derogatory and very offensive.
Tynkard ,Negative,Derogatory Term,"Race,Culture","An inconsequential person (typically lower"" the term ""Irish Tinker"" may be used).  Could be used as a slur against Romani people "" being also known in the past as ""travelling tinsmiths,"" possibly derived from a reputation for rowdy and alcoholic recreation.",The term is derogatory and very offensive.
Tynker ,Negative,Derogatory Term,"Race,Culture","An inconsequential person (typically lower"" the term ""Irish Tinker"" may be used).  Could be used as a slur against Romani people "" being also known in the past as ""travelling tinsmiths,"" possibly derived from a reputation for rowdy and alcoholic recreation.",The term is derogatory and very offensive.
Tynkere,Negative,Derogatory Term,"Race,Culture","An inconsequential person (typically lower"" the term ""Irish Tinker"" may be used).  Could be used as a slur against Romani people "" being also known in the past as ""travelling tinsmiths,"" possibly derived from a reputation for rowdy and alcoholic recreation.",The term is derogatory and very offensive.
Uppity,Negative,"""Agitated""  ""Het up""",Race,"Agitated, het up.","Uppity stems from segregation and deep rooted racism and was used to describe Black people who
‘got out of line’ or didn’t ‘know their place’ in some of the darkest times in history."
Whiter than white,Negative,"""Impeccable""  ""Moral""",Race,Morally beyond reproach.,"This suggests that being as white as possible is superior, moral or ethical and shouldn’t be used."
Whore,Negative,"""Sex worker""",Sex,A prostitute.,There’s a social and moral stigma  attached to the word and so is a sexist insult.
Yellow ,Context,Derogatory Term,Race,"An East or southeast Asian person, in reference to those who have a yellowish skin colour. Or anyone of mixed heritage, especially black or white people; a light"" or a dark skinned white person.",The term is derogatory and very offensive.
Youngster ,Negative,"""A young person""",Age,"A child, young person, or young animal.",The term can imply a condescending tone.
Youngsters,Negative,"""Young people""",Age,"Children, young people, or young animals.",The term can imply a condescending tone.